,resultId,NN_Outcome,NN_Bin
504,24287,11,4
512,24295,12,4
87,23869,13,4
505,24288,14,4
98,23880,15,4
511,24294,16,4
519,24302,17,4
513,24296,18,4
85,23867,19,4
515,24298,20,4
91,23873,21,4
506,24289,22,4
86,23868,23,4
94,23876,24,4
518,24301,25,4
99,23881,26,4
509,24292,27,4
97,23879,28,4
510,24293,29,4
90,23872,30,4
514,24297,31,4
507,24290,32,4
95,23877,33,4
88,23870,34,4
508,24291,35,4
517,24300,36,4
93,23875,37,4
89,23871,38,4
92,23874,39,4
516,24299,40,4
520,24306,1,1
102,23884,2,1
101,23883,3,1
100,23882,4,2
521,24307,5,2
522,24308,6,2
523,24309,7,3
104,23886,8,3
103,23885,9,3
528,24314,10,3
119,23901,11,4
524,24310,12,4
106,23888,13,4
531,24317,14,4
109,23891,15,4
118,23900,16,4
536,24322,17,4
525,24311,18,4
538,24324,19,4
530,24316,20,4
533,24319,21,4
107,23889,22,4
105,23887,23,4
112,23894,24,4
539,24325,25,4
527,24313,26,4
111,23893,27,4
535,24321,28,4
116,23898,29,4
532,24318,30,4
108,23890,31,4
113,23895,32,4
115,23897,33,4
526,24312,34,4
529,24315,35,4
117,23899,36,4
114,23896,37,4
534,24320,38,4
537,24323,39,4
110,23892,40,4
540,24326,1,1
124,23906,2,1
120,23902,3,1
541,24327,4,2
121,23903,5,2
122,23904,6,2
545,24331,7,3
543,24329,8,3
542,24328,9,3
123,23905,10,3
125,23907,11,4
544,24330,12,4
559,24345,13,4
556,24342,14,4
547,24333,15,4
126,23908,16,4
546,24332,17,4
138,23920,18,4
137,23919,19,4
130,23912,20,4
127,23909,21,4
552,24338,22,4
132,23914,23,4
554,24340,24,4
128,23910,25,4
550,24336,26,4
548,24334,27,4
139,23921,28,4
133,23915,29,4
558,24344,30,4
551,24337,31,4
135,23917,32,4
549,24335,33,4
553,24339,34,4
129,23911,35,4
557,24343,36,4
136,23918,37,4
555,24341,38,4
131,23913,39,4
134,23916,40,4
140,23922,1,1
560,24346,2,1
144,23926,3,1
146,23928,4,2
561,24347,5,2
563,24349,6,2
562,24348,7,3
143,23925,8,3
564,24350,9,3
141,23923,10,3
142,23924,11,4
568,24354,12,4
570,24356,13,4
569,24355,14,4
565,24351,15,4
159,23941,16,4
147,23929,17,4
566,24352,18,4
575,24361,19,4
153,23935,20,4
145,23927,21,4
155,23937,22,4
148,23930,23,4
567,24353,24,4
572,24358,25,4
576,24362,26,4
149,23931,27,4
156,23938,28,4
158,23940,29,4
151,23933,30,4
574,24360,31,4
150,23932,32,4
571,24357,33,4
157,23939,34,4
577,24363,35,4
579,24365,36,4
152,23934,37,4
154,23936,38,4
573,24359,39,4
578,24364,40,4
178,23960,1,1
175,23957,2,1
582,24368,3,1
584,24370,4,2
580,24366,5,2
160,23942,6,2
581,24367,7,3
161,23943,8,3
597,24383,9,3
177,23959,10,3
162,23944,11,4
585,24371,12,4
583,24369,13,4
588,24374,14,4
591,24377,15,4
171,23953,16,4
163,23945,17,4
179,23961,18,4
167,23949,19,4
590,24376,20,4
586,24372,21,4
170,23952,22,4
592,24378,23,4
164,23946,24,4
176,23958,25,4
589,24375,26,4
598,24384,27,4
595,24381,28,4
165,23947,29,4
593,24379,30,4
166,23948,31,4
174,23956,32,4
173,23955,33,4
587,24373,34,4
172,23954,35,4
599,24385,36,4
594,24380,37,4
168,23950,38,4
596,24382,39,4
169,23951,40,4
600,24386,1,1
181,23963,2,1
180,23962,3,1
601,24387,4,2
615,24401,5,2
604,24390,6,2
182,23964,7,3
183,23965,8,3
602,24388,9,3
195,23977,10,3
184,23966,11,4
606,24392,12,4
194,23982,13,4
603,24389,14,4
192,23974,15,4
610,24396,16,4
607,24393,17,4
617,24403,18,4
187,23969,19,4
609,24395,20,4
188,23970,21,4
185,23967,22,4
611,24397,23,4
616,24402,24,4
612,24398,25,4
186,23968,26,4
196,23978,27,4
619,24405,28,4
605,24391,29,4
191,23973,30,4
189,23971,31,4
197,23979,32,4
199,23981,33,4
618,24404,34,4
190,23972,35,4
614,24400,36,4
608,24394,37,4
193,23975,38,4
198,23980,39,4
613,24399,40,4
628,24414,1,1
217,24000,2,1
201,23984,3,1
620,24406,4,2
203,23986,5,2
634,24420,6,2
202,23985,7,3
200,23983,8,3
631,24417,9,3
215,23998,10,3
633,24419,11,4
210,23993,12,4
636,24422,13,4
213,23996,14,4
638,24424,15,4
624,24410,16,4
209,23992,17,4
204,23987,18,4
639,24425,19,4
632,24418,20,4
211,23994,21,4
627,24413,22,4
635,24421,23,4
219,24002,24,4
205,23988,25,4
626,24412,26,4
206,23989,27,4
621,24407,28,4
623,24409,29,4
218,24001,30,4
214,23997,31,4
216,23999,32,4
207,23990,33,4
625,24411,34,4
212,23995,35,4
637,24423,36,4
629,24415,37,4
622,24408,38,4
630,24416,39,4
208,23991,40,4
220,24003,1,1
640,24426,2,1
221,24004,3,1
224,24007,4,2
641,24427,5,2
222,24005,6,2
647,24433,7,3
642,24428,8,3
238,24021,9,3
643,24429,10,3
228,24011,11,4
223,24006,12,4
645,24431,13,4
225,24008,14,4
648,24434,15,4
230,24013,16,4
227,24010,17,4
646,24432,18,4
657,24443,19,4
226,24009,20,4
644,24430,21,4
651,24437,22,4
653,24439,23,4
231,24014,24,4
652,24438,25,4
236,24019,26,4
656,24442,27,4
659,24445,28,4
229,24012,29,4
237,24020,30,4
649,24435,31,4
232,24015,32,4
650,24436,33,4
658,24444,34,4
655,24441,35,4
233,24016,36,4
654,24440,37,4
234,24017,38,4
235,24018,39,4
239,24022,40,4
241,24024,1,1
661,24447,2,1
663,24449,3,1
240,24023,4,2
660,24446,5,2
256,24039,6,2
662,24448,7,3
679,24465,8,3
255,24038,9,3
675,24461,10,3
242,24025,11,4
676,24462,12,4
673,24459,13,4
248,24031,14,4
668,24454,15,4
665,24451,16,4
244,24027,17,4
253,24036,18,4
670,24456,19,4
671,24457,20,4
247,24030,21,4
258,24041,22,4
245,24028,23,4
677,24463,24,4
667,24453,25,4
669,24455,26,4
246,24029,27,4
252,24035,28,4
672,24458,29,4
243,24026,30,4
678,24464,31,4
254,24037,32,4
664,24450,33,4
250,24033,34,4
259,24042,35,4
674,24460,36,4
257,24040,37,4
251,24034,38,4
249,24032,39,4
666,24452,40,4
682,24468,1,1
260,24043,2,1
263,24046,3,1
692,24478,4,2
264,24047,5,2
261,24044,6,2
680,24466,7,3
681,24467,8,3
262,24045,9,3
694,24480,10,3
683,24469,11,4
699,24485,12,4
685,24471,13,4
684,24470,14,4
277,24060,15,4
273,24056,16,4
267,24050,17,4
690,24476,18,4
278,24061,19,4
276,24059,20,4
688,24474,21,4
275,24058,22,4
697,24483,23,4
265,24048,24,4
691,24477,25,4
268,24051,26,4
279,24062,27,4
269,24052,28,4
689,24475,29,4
272,24055,30,4
687,24473,31,4
693,24479,32,4
698,24484,33,4
686,24472,34,4
695,24481,35,4
271,24054,36,4
696,24482,37,4
266,24049,38,4
270,24053,39,4
274,24057,40,4
280,24063,1,1
703,24489,2,1
282,24065,3,1
700,24486,4,2
701,24487,5,2
281,24064,6,2
702,24488,7,3
283,24066,8,3
285,24068,9,3
704,24490,10,3
284,24067,11,4
705,24491,12,4
286,24069,13,4
706,24492,14,4
707,24493,15,4
708,24494,16,4
292,24075,17,4
289,24072,18,4
717,24503,19,4
296,24079,20,4
709,24495,21,4
711,24497,22,4
713,24499,23,4
716,24502,24,4
712,24498,25,4
287,24070,26,4
297,24080,27,4
299,24082,28,4
295,24078,29,4
293,24076,30,4
294,24077,31,4
718,24504,32,4
715,24501,33,4
714,24500,34,4
291,24074,35,4
288,24071,36,4
290,24073,37,4
719,24505,38,4
710,24496,39,4
298,24081,40,4
300,24083,1,1
720,24506,2,1
301,24084,3,1
721,24507,4,2
302,24085,5,2
724,24510,6,2
722,24508,7,3
737,24523,8,3
303,24086,9,3
725,24511,10,3
723,24509,11,4
727,24513,12,4
307,24090,13,4
733,24519,14,4
318,24101,15,4
738,24524,16,4
734,24520,17,4
316,24099,18,4
305,24088,19,4
319,24102,20,4
739,24525,21,4
313,24096,22,4
310,24093,23,4
729,24515,24,4
306,24089,25,4
732,24518,26,4
730,24516,27,4
314,24097,28,4
728,24514,29,4
309,24092,30,4
308,24091,31,4
726,24512,32,4
311,24094,33,4
315,24098,34,4
317,24100,35,4
304,24087,36,4
312,24095,37,4
735,24521,38,4
731,24517,39,4
736,24522,40,4
320,24103,1,1
742,24528,2,1
741,24527,3,1
321,24104,4,2
740,24526,5,2
322,24105,6,2
745,24531,7,3
325,24108,8,3
324,24107,9,3
757,24543,10,3
756,24542,11,4
743,24529,12,4
332,24115,13,4
330,24113,14,4
746,24532,15,4
744,24530,16,4
750,24536,17,4
323,24106,18,4
753,24539,19,4
751,24537,20,4
758,24544,21,4
339,24122,22,4
333,24116,23,4
748,24534,24,4
338,24121,25,4
327,24110,26,4
329,24112,27,4
336,24119,28,4
754,24540,29,4
759,24545,30,4
328,24111,31,4
326,24109,32,4
334,24117,33,4
752,24538,34,4
337,24120,35,4
747,24533,36,4
335,24118,37,4
749,24535,38,4
755,24541,39,4
331,24114,40,4
342,24125,1,1
760,24546,2,1
761,24547,3,1
765,24551,4,2
763,24549,5,2
764,24550,6,2
340,24123,7,3
762,24548,8,3
355,24138,9,3
343,24126,10,3
344,24127,11,4
779,24565,12,4
772,24558,13,4
768,24554,14,4
357,24140,15,4
778,24564,16,4
767,24553,17,4
345,24128,18,4
766,24552,19,4
773,24559,20,4
769,24555,21,4
351,24134,22,4
348,24131,23,4
346,24129,24,4
774,24560,25,4
358,24141,26,4
770,24556,27,4
771,24557,28,4
359,24142,29,4
341,24124,30,4
775,24561,31,4
352,24135,32,4
353,24136,33,4
347,24130,34,4
356,24139,35,4
354,24137,36,4
776,24562,37,4
777,24563,38,4
350,24133,39,4
349,24132,40,4
363,24146,1,1
781,24567,2,1
360,24143,3,1
376,24159,4,2
361,24144,5,2
799,24585,6,2
782,24568,7,3
364,24147,8,3
780,24566,9,3
362,24145,10,3
784,24570,11,4
789,24575,12,4
379,24162,13,4
783,24569,14,4
785,24571,15,4
373,24156,16,4
378,24161,17,4
365,24148,18,4
795,24581,19,4
787,24573,20,4
369,24152,21,4
786,24572,22,4
374,24157,23,4
366,24149,24,4
370,24153,25,4
793,24579,26,4
377,24160,27,4
371,24154,28,4
788,24574,29,4
372,24155,30,4
797,24583,31,4
792,24578,32,4
368,24151,33,4
790,24576,34,4
375,24158,35,4
367,24150,36,4
794,24580,37,4
796,24582,38,4
791,24577,39,4
798,24584,40,4
380,24163,1,1
806,24592,2,1
385,24168,3,1
816,24602,4,2
800,24586,5,2
384,24167,6,2
819,24605,7,3
381,24164,8,3
382,24165,9,3
813,24599,10,3
383,24166,11,4
801,24587,12,4
805,24591,13,4
392,24175,14,4
803,24589,15,4
390,24173,16,4
807,24593,17,4
804,24590,18,4
388,24171,19,4
810,24596,20,4
398,24181,21,4
396,24179,22,4
817,24603,23,4
818,24604,24,4
814,24600,25,4
812,24598,26,4
387,24170,27,4
386,24169,28,4
391,24174,29,4
397,24180,30,4
399,24182,31,4
389,24172,32,4
808,24594,33,4
394,24177,34,4
395,24178,35,4
815,24601,36,4
393,24176,37,4
802,24588,38,4
809,24595,39,4
811,24597,40,4
820,24606,1,1
400,24183,2,1
404,24187,3,1
401,24184,4,2
821,24607,5,2
824,24610,6,2
418,24201,7,3
402,24185,8,3
403,24186,9,3
822,24608,10,3
825,24611,11,4
830,24616,12,4
827,24613,13,4
837,24623,14,4
415,24198,15,4
411,24194,16,4
829,24615,17,4
835,24621,18,4
831,24617,19,4
419,24202,20,4
410,24193,21,4
832,24618,22,4
409,24192,23,4
408,24191,24,4
826,24612,25,4
405,24188,26,4
416,24199,27,4
839,24625,28,4
833,24619,29,4
823,24609,30,4
406,24189,31,4
412,24195,32,4
413,24196,33,4
417,24200,34,4
834,24620,35,4
407,24190,36,4
828,24614,37,4
838,24624,38,4
414,24197,39,4
836,24622,40,4
